
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:53:7C:AD:0F:71, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -65,        4,        0,   0.  0.  0.  0,   7, ONOBF84, 
D4:63:FE:7C:4E:E8, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2, CCMP,PSK, -60,        3,        0,   0.  0.  0.  0,  11, Orange-4EE6, 
DC:53:7C:F0:AF:65, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -51,        1,        0,   0.  0.  0.  0,   7, ONO975C, 
CC:D4:A1:68:F7:B9, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2, CCMP,PSK, -65,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_F7B8, 
BC:30:D9:77:FF:72, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2, CCMP,PSK, -62,        1,        0,   0.  0.  0.  0,  12, MiFibra-FF70, 
E0:51:63:8E:97:48, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2, CCMP,PSK, -68,        2,        0,   0.  0.  0.  0,  12, MiFibra-9746, 
70:5A:0F:9F:21:B8, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, OPN, ,   , -60,        3,        0,   0.  0.  0.  0,  26, HP-Print-B8-Officejet 6800, 
38:D8:2F:21:B7:20, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, WPA2, CCMP,PSK, -63,        3,        0,   0.  0.  0.  0,   7, Abaddon, 
4C:09:D4:BC:18:1F, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,  11, Orange-181D, 
5C:35:3B:95:F3:64, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, WPA2, CCMP TKIP,PSK, -69,        2,        0,   0.  0.  0.  0,   7, ONO23C3, 
C4:6E:1F:79:4A:95, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -70,        1,        0,   0.  0.  0.  0,  12, Wifi de casa, 
10:C2:5A:AE:42:A8, 2019-03-25 12:57:17, 2019-03-25 12:57:21,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -36,        2,        0,   0.  0.  0.  0,  12, vodafone42A3, 
90:5C:44:54:A3:A8, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:44:01:60:D8:A8, 2019-03-25 12:57:17, 2019-03-25 12:57:17,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -68,        0,        0,   0.  0.  0.  0,   4, Reda, 
C8:D3:A3:39:21:AC, 2019-03-25 12:57:17, 2019-03-25 12:57:17, 13,  54, WPA2, CCMP TKIP,PSK, -70,        3,        0,   0.  0.  0.  0,  10, dlink-21AC, 
00:4A:77:E4:19:5F, 2019-03-25 12:57:17, 2019-03-25 12:57:17, 13,  -1, WPA, ,   , -73,        0,        2,   0.  0.  0.  0,   0, , 
14:CC:20:3F:CB:48, 2019-03-25 12:57:18, 2019-03-25 12:57:22,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -66,        2,        0,   0.  0.  0.  0,   7, ONO6A89, 
DC:53:7C:39:FA:8C, 2019-03-25 12:57:18, 2019-03-25 12:57:18,  8,  54, WPA2, CCMP TKIP,PSK, -70,        1,        0,   0.  0.  0.  0,   7, ONO6A89, 
EC:08:6B:59:5B:78, 2019-03-25 12:57:18, 2019-03-25 12:57:22,  3,  54, WPA2, CCMP,PSK, -32,        2,        0,   0.  0.  0.  0,  12, Wifibra_0500, 
18:44:E6:B6:65:D6, 2019-03-25 12:57:18, 2019-03-25 12:57:18,  3,  54, WPA2 WPA, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  12, JAZZTEL_R7n3, 
B0:BE:76:64:03:0E, 2019-03-25 12:57:18, 2019-03-25 12:57:18,  3,  54, WPA2, CCMP,PSK, -66,        0,        0,   0.  0.  0.  0,  12, TP-Link_030E, 
F8:01:13:31:9A:04, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  9,  54, WPA2, CCMP,PSK, -56,        2,       39,   0.  0.  0.  0,  12, vodafone99FC, 
FA:8F:CA:69:C4:5F, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  9,  54, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   0, , 
20:08:ED:33:B4:B0, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  9,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,  12, vodafoneB4A9, 
14:B9:68:E7:32:BC, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  4,  54, WPA2, CCMP,PSK, -66,        2,        1,   0.  0.  0.  0,  12, vodafone32B5, 
3C:DF:BD:CB:2C:AC, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  4,  54, WPA2, CCMP,PSK, -69,        1,        1,   0.  0.  0.  0,  12, vodafone2CA4, 
5C:35:3B:97:CD:24, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  4,  54, WPA2, CCMP TKIP,PSK, -66,        1,        0,   0.  0.  0.  0,   7, ONO2D96, 
24:D3:F2:E1:93:F3, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  4,  54, WPA2 WPA, CCMP,PSK, -65,        0,        0,   0.  0.  0.  0,  14, MIWIFI_2G_Cui7, 
A0:F3:C1:9E:F9:36, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -76,        1,        0,   0.  0.  0.  0,  12, AlejandroPTV, 
20:08:ED:23:B0:A0, 2019-03-25 12:57:19, 2019-03-25 12:57:19,  5,  54, WPA2, CCMP,PSK, -68,        0,        0,   0.  0.  0.  0,  12, vodafoneB098, 
88:E3:AB:20:C0:9C, 2019-03-25 12:57:20, 2019-03-25 12:57:20,  5,  54, WPA2, CCMP,PSK, -64,        2,        0,   0.  0.  0.  0,  12, vodafoneC096, 
B0:EA:BC:17:04:41, 2019-03-25 12:57:20, 2019-03-25 12:57:20, 11,  54, WPA2, CCMP,PSK, -64,        2,        0,   0.  0.  0.  0,  13, MOVISTAR_0440, 
